"","Cluster"
"OoCyte_1",1
"OoCyte_2",1
"OoCyte_3",1
"Zygote_1",2
"Zygote_2",2
"Zygote_3",2
"X2_Cell_embryo_1_Cell_1",3
"X2_Cell_embryo_1_Cell_2",3
"X2_Cell_embryo_2_Cell_1",3
"X2_Cell_embryo_2_Cell_2",3
"X2_Cell_embryo_3_Cell_1",3
"X2_Cell_embryo_3_Cell_2",3
"X4_Cell_embryo_1_Cell_1",4
"X4_Cell_embryo_1_Cell_2",4
"X4_Cell_embryo_1_Cell_3",4
"X4_Cell_embryo_1_Cell_4",4
"X4_Cell_embryo_2_Cell_1",4
"X4_Cell_embryo_2_Cell_2",4
"X4_Cell_embryo_2_Cell_3",4
"X4_Cell_embryo_2_Cell_4",4
"X4_Cell_embryo_3_Cell_1",4
"X4_Cell_embryo_3_Cell_2",4
"X4_Cell_embryo_3_Cell_3",4
"X4_Cell_embryo_3_Cell_4",4
"X8_Cell_embryo_1_Cell_1",5
"X8_Cell_embryo_1_Cell_2",5
"X8_Cell_embryo_1_Cell_3",5
"X8_Cell_embryo_1_Cell_4",5
"X8_Cell_embryo_2_Cell_1",5
"X8_Cell_embryo_2_Cell_2",5
"X8_Cell_embryo_2_Cell_3",5
"X8_Cell_embryo_2_Cell_4",5
"X8_Cell_embryo_2_Cell_5",5
"X8_Cell_embryo_2_Cell_6",5
"X8_Cell_embryo_2_Cell_7",5
"X8_Cell_embryo_2_Cell_8",5
"X8_Cell_embryo_3_Cell_1",5
"X8_Cell_embryo_3_Cell_2",5
"X8_Cell_embryo_3_Cell_3",5
"X8_Cell_embryo_3_Cell_4",5
"X8_Cell_embryo_3_Cell_5",5
"X8_Cell_embryo_3_Cell_6",5
"X8_Cell_embryo_3_Cell_7",5
"X8_Cell_embryo_3_Cell_8",5
"Morulae_1_Cell_1",6
"Morulae_1_Cell_2",6
"Morulae_1_Cell_3",6
"Morulae_1_Cell_4",6
"Morulae_1_Cell_5",6
"Morulae_1_Cell_6",6
"Morulae_1_Cell_7",6
"Morulae_1_Cell_8",6
"Morulae_2_Cell_1",6
"Morulae_2_Cell_2",6
"Morulae_2_Cell_3",6
"Morulae_2_Cell_4",6
"Morulae_2_Cell_5",6
"Morulae_2_Cell_6",6
"Morulae_2_Cell_7",6
"Morulae_2_Cell_8",6
"Late_blastoCyst_1_Cell_1",7
"Late_blastoCyst_1_Cell_2",7
"Late_blastoCyst_1_Cell_3",7
"Late_blastoCyst_1_Cell_4",7
"Late_blastoCyst_1_Cell_5",7
"Late_blastoCyst_1_Cell_6",7
"Late_blastoCyst_1_Cell_7",7
"Late_blastoCyst_1_Cell_8",7
"Late_blastoCyst_1_Cell_9",7
"Late_blastoCyst_1_Cell_10",7
"Late_blastoCyst_1_Cell_11",7
"Late_blastoCyst_1_Cell_12",7
"Late_blastoCyst_2_Cell_1",7
"Late_blastoCyst_2_Cell_2",7
"Late_blastoCyst_2_Cell_3",7
"Late_blastoCyst_2_Cell_4",7
"Late_blastoCyst_2_Cell_5",7
"Late_blastoCyst_2_Cell_6",7
"Late_blastoCyst_2_Cell_7",7
"Late_blastoCyst_2_Cell_8",7
"Late_blastoCyst_2_Cell_9",7
"Late_blastoCyst_2_Cell_10",7
"Late_blastoCyst_3_Cell_1",7
"Late_blastoCyst_3_Cell_2",7
"Late_blastoCyst_3_Cell_3",7
"Late_blastoCyst_3_Cell_4",7
"Late_blastoCyst_3_Cell_5",7
"Late_blastoCyst_3_Cell_6",7
"Late_blastoCyst_3_Cell_7",7
"Late_blastoCyst_3_Cell_8",7
